801,0.36,BRKBQNRN
842,0.36,RKNRBBQN
854,0.36,RKBNRBNQ
877,0.36,QRKBRNBN
878,0.36,QRKRNBBN
899,0.36,BRKQRNNB
905,0.36,RKQBBRNN
949,0.36,RKBBRNNQ
952,0.36,RBKRBNNQ
36,0.35,NBBNQRKR
199,0.35,QNBRKNRB
212,0.35,NBBQRKNR
235,0.35,NRQKBNRB
271,0.35,NRKNQRBB
282,0.35,NRKNBBRQ
285,0.35,NRKBNRBQ
318,0.35,NQRKRBBN
346,0.35,NRKQBBRN
363,0.35,NRKRBQNB
387,0.35,BQRNNKRB
388,0.35,QBBRNNKR
398,0.35,QRNNKBBR
472,0.35,RBNNBKRQ
520,0.35,RBNQBKNR
543,0.35,RNKQNRBB
561,0.35,BRNBKNRQ
643,0.35,BRNKRQNB
677,0.35,QRBBKNNR
695,0.35,RQBKNNRB
707,0.35,BRKQNNRB
733,0.35,RKNBQNBR
741,0.35,RKBBNNQR
829,0.35,RKNBQRBN
831,0.35,RKNQRNBB
861,0.35,RKNBRNBQ
887,0.35,RQBKRNNB
916,0.35,RBBKRQNN
928,0.35,BBRKRNQN
55,0.34,NNBRQKRB
66,0.34,BNNRKBQR
72,0.34,NBNRBKQR
213,0.34,NQBBRKNR
219,0.34,NQRKBNRB
354,0.34,BNRKRBQN
478,0.34,RNNKRBBQ
525,0.34,RNQBKNBR
529,0.34,BRNBKQNR
541,0.34,RNKBQNBR
549,0.34,RNBBKNQR
568,0.34,RBNKBNRQ
586,0.34,QRNKBBRN
587,0.34,QRNKBRNB
656,0.34,BBRNKRNQ
665,0.34,RNKBBRNQ
810,0.34,RKQNBBRN
835,0.34,BRKNRQNB
853,0.34,RKBBNRNQ
907,0.34,RKQRBNNB
908,0.34,RBKQRNBN
915,0.34,BRKRQNNB
954,0.34,RKRNBBNQ
4,0.33,QBBNNRKR
65,0.33,BNNBRKQR
76,0.33,NBNRKQBR
88,0.33,NBNRBKRQ
97,0.33,BQNBRNKR
143,0.33,NRQNKRBB
150,0.33,NRBNQBKR
152,0.33,NBRNBQKR
161,0.33,BNRBNKQR
208,0.33,BBNQRKNR
229,0.33,NRBBQKNR
265,0.33,NRKBBNQR
327,0.33,NRBQKRNB
381,0.33,NRKBRNBQ
394,0.33,QRNNBBKR
410,0.33,RQNNBBKR
413,0.33,RQNBNKBR
480,0.33,BBQRNKNR
553,0.33,RNKBBNQR
573,0.33,RNKBNRBQ
589,0.33,QRNBKRBN
609,0.33,BRNBQKRN
616,0.33,RBNQBKRN
619,0.33,RNQKBRNB
638,0.33,RNKQRBBN
655,0.33,RNKRQNBB
714,0.33,RKQNBBNR
715,0.33,RKQNBNRB
839,0.33,RKBNRQNB
855,0.33,RKBNRNQB
918,0.33,RKBRQBNN
11,0.32,QNNRBKRB
16,0.32,BBNQNRKR
19,0.32,BNQNRKRB
41,0.32,NNQBBRKR
64,0.32,BBNNRKQR
106,0.32,QNRNBBKR
114,0.32,BNQRNBKR
123,0.32,NQRNBKRB
136,0.32,NBRQBNKR
145,0.32,BNRBNQKR
162,0.32,BNRNKBQR
192,0.32,BBQNRKNR
203,0.32,QNRKBNRB
207,0.32,QNRKNRBB
231,0.32,NRBQKNRB
255,0.32,NRKQNRBB
309,0.32,NQBBRKRN
320,0.32,BBNRQKRN
391,0.32,QRBNNKRB
435,0.32,BRNNQKRB
518,0.32,RNBQKBNR
562,0.32,BRNKNBRQ
571,0.32,RNKNBRQB
653,0.32,RNKBRQBN
679,0.32,QRBKNNRB
687,0.32,QRKNNRBB
708,0.32,RBBKQNNR
736,0.32,BBRKNNQR
748,0.32,RBKNNQBR
761,0.32,RKNBBNRQ
785,0.32,BRQBKNRN
862,0.32,RKNRNBBQ
898,0.32,BRKQRBNN
904,0.32,RBKQBRNN
911,0.32,RKQRNNBB
929,0.32,BRKBRNQN
947,0.32,BRKRNNQB
956,0.32,RBKRNNBQ
25,0.31,NQNBBRKR
30,0.31,NQNRKBBR
38,0.31,NNBQRBKR
77,0.31,NNRBKQBR
131,0.31,BNRQNKRB
151,0.31,NRBNQKRB
170,0.31,NRNKBBQR
174,0.31,NRNKQBBR
179,0.31,BNRNKRQB
253,0.31,NRKBQNBR
313,0.31,NQRBBKRN
